시점,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
　　　덴마크,-,-,-,-,-,-,"2,487","2,701","2,776","3,151","3,464","3,846","4,654","6,119","6,771","7,999","8,788","9,784","11,826","13,752","13,884","12,082","11,804","11,858","11,563","12,253","17,201","21,341","22,527","21,901","26,891","27,011","29,570","27,598","29,996","35,351","35,651","32,836","33,368","33,441","30,744","30,752","33,229","40,459","46,512","48,800","52,027","58,487","64,322","58,163","58,041","61,754","58,508","61,191","62,549","53,255","54,664","57,610","61,599","60,213","60,909"
　　　에스토니아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,131","3,377","3,678","4,088","4,145","4,076","4,509","5,345","7,206","8,913","10,406","12,632","16,742","18,227","14,795","14,784","17,624","17,534","19,174","20,367","17,522","18,437","20,408","23,159","23,718","23,312"
　　　핀란드,"1,179","1,327","1,412","1,522","1,708","1,882","2,010","2,034","1,907","2,178","2,466","2,716","3,178","4,173","5,298","6,256","6,740","7,069","7,629","9,332","11,224","10,927","10,938","10,497","10,834","11,398","14,951","18,571","22,048","23,973","28,365","25,485","22,319","17,609","20,301","26,272","25,783","24,692","26,009","26,177","24,285","24,946","26,870","32,855","37,703","39,040","41,188","48,415","53,554","47,294","46,460","51,082","47,711","49,878","50,260","42,785","43,784","46,297","50,013","48,712","49,041"
　　　프랑스,"1,335","1,428","1,578","1,745","1,910","2,038","2,186","2,343","2,536","2,752","2,857","3,169","3,855","4,970","5,328","6,691","6,867","7,533","9,265","11,180","12,713","11,105","10,497","9,993","9,420","9,763","13,540","16,302","17,680","17,694","21,794","21,675","23,814","22,380","23,497","26,890","26,872","24,229","24,974","24,673","22,364","22,434","24,177","29,568","33,741","34,760","36,444","41,508","45,334","41,575","40,638","43,791","40,875","42,593","43,011","36,638","37,037","38,685","41,526","40,380","38,625"
　　　독일,-,-,-,-,-,-,-,-,-,-,"2,761","3,192","3,810","5,047","5,639","6,236","6,635","7,683","9,482","11,281","12,138","10,209","9,914","9,864","9,313","9,430","13,462","16,678","17,931","17,764","22,304","23,358","26,438","25,523","27,077","31,658","30,486","26,964","27,289","26,726","23,636","23,608","25,078","30,244","34,044","34,507","36,323","41,587","45,427","41,486","41,532","46,645","43,858","46,286","47,960","41,087","42,108","44,443","47,787","46,468","45,724"
　　　그리스,520,591,617,695,784,899,997,"1,068","1,154","1,324","1,494","1,652","1,900","2,503","2,829","3,153","3,391","3,886","4,695","5,706","5,894","5,380","5,579","5,020","4,853","4,814","5,657","6,565","7,598","7,847","9,600","10,188","11,176","10,402","11,091","12,959","13,749","13,428","13,472","13,245","12,043","12,538","14,110","18,478","21,955","22,552","24,801","28,827","31,997","29,711","26,691","25,451","21,915","21,749","21,602","18,050","17,885","18,562","19,766","19,151","17,676"
　　　헝가리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,350","3,735","3,874","4,173","4,495","4,525","4,596","4,744","4,793","4,624","5,276","6,655","8,421","10,286","11,201","11,476","13,919","15,753","13,046","13,192","14,216","12,951","13,688","14,267","12,707","13,091","14,606","16,411","16,733","15,899"
　　　아이슬란드,"1,415","1,418","1,562","1,832","2,298","2,724","3,216","3,126","2,354","2,039","2,576","3,252","4,015","5,437","7,041","6,454","7,583","9,957","11,237","12,641","14,822","15,137","13,712","11,672","11,960","12,361","16,406","22,453","24,452","22,434","25,385","26,803","27,124","23,580","24,019","26,634","27,615","27,919","31,030","32,382","32,096","28,897","32,409","39,477","47,335","56,795","57,493","69,496","56,943","41,301","43,237","47,715","45,996","49,805","54,577","52,952","61,988","72,010","74,348","68,883","59,261"
　　　아일랜드,686,739,797,852,965,"1,024","1,075","1,152","1,125","1,291","1,487","1,704","2,081","2,425","2,517","2,974","2,920","3,428","4,401","5,431","6,373","5,987","6,162","5,916","5,693","6,013","8,113","9,583","10,718","11,178","14,034","14,089","15,717","14,659","15,905","19,161","20,835","22,541","24,274","26,295","26,246","28,240","32,540","41,101","47,645","50,891","54,283","61,337","61,213","52,009","48,698","51,887","48,915","51,577","55,587","62,000","62,994","70,413","79,298","80,779","83,813"
　　　이탈리아,804,887,990,"1,126","1,223","1,304","1,402","1,534","1,652","1,813","2,107","2,306","2,671","3,205","3,621","4,107","4,033","4,604","5,610","6,990","8,457","7,623","7,557","7,833","7,740","7,991","11,315","14,235","15,745","16,387","20,826","21,957","23,243","18,739","19,338","20,665","23,082","21,829","22,318","21,998","20,088","20,483","22,270","27,466","31,260","32,043","33,502","37,823","40,778","37,080","36,001","38,599","35,054","35,550","35,518","30,230","30,940","32,327","34,609","33,567","31,676"
